简介,面积
龙锦苑东一区 3室1厅 480万,124.05
和谐家园3居室2卫生间 采光好 视野好,124.75
朝阳公园南门，金台路口，南北复式，业主诚售,125.09
西引力 3室1厅 657万,126.41
商品房满五年唯一，仅有契税，中间楼层无遮挡,127.38
丽景长安 3室1厅 615万,129.7
花溪渡 双卧朝南 全明户型 前后花园 拎包入住,131.42
金融街 精装修 西南向无遮挡，业主诚意出售,133.08
筑华年南北三居室 中间层精装空置 拎包入住,133.41
满五唯一 小区中间 前后花园 南北通透  眼镜户型,134.15
满五唯一三居室客厅双卧朝南主卧带独卫,140.62
东一区一层三居 南边有花园 商满五唯一 业主诚心出售,140.69
全明格局，双卫，层高高，空间感强，不压抑，安静不吵,141.35
新上精装三居室，楼层高，视野棒，带直通地下车位,143.69
国瑞城西区 2室2厅 850万,143.71
瑞都南区 人车分流 三居 客厅和2个卧室朝阳,143.93
经典的三居，视野特别的好，满五年名下首套住宅,144.76
原值高，税费少，安静不临街，明厨明卫，南北通透,145.26
四期东南三居，正对花园，满五年唯一！,147.32
阿曼寓所 南北通透复式 看房随时 户型好 满五唯一,175.1
